Código;Descripción;Precio;Stock
6910HP705G23GB;Ordenador HP 705 G2 SFF GRADO B (AMD A6 8550B 3.7GHz/4GB/120SSD/DVD/W8H) Preinstalado;85;10 
6910HPU800G116GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W8P) Preinstalado;95;69 
6910HPU800G128GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;95;57 
6910HPU800G129GB;Ordenador HP 800 G1 USDT WIFI GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;95;47 
6910HPU800G130GB;Ordenador HP 800 G1 USDT WIFI GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/NO-DVD/W8P) Preinstalado;95;7 
6910HPU800G132GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i3 4130 3.4GHz/8GB/120SSD/DVD/W8P) Preinstalado;95;4 
6910HPU800G135GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W8P) Preinstalado;99;116 
6910HPU800G136GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W7P) Preinstalado;105;26 
6910HPU800G137GB;Ordenador HP 800 G1 USDT WIFI GRADO B (Intel Core i3 4130 3.4GHz/8GB/240SSD/DVD/W7P) Preinstalado;105;29 
6910LENTIM72E2GB;Ordenador Lenovo Desktop Tiny M72e GRADO B (Intel Core i3 2120T 2.6Ghz/8GB/120SSD/NO-DVD/W7P) Preinstalado;95;2 
6910DO9020U1GB;Ordenador Dell Optiplex 9020 USDT GRADO B (Intel Core i5 4590s 3.0Ghz/4GB/500GB/DVD/W8HP) Preinstalado;125;13 
6910HP800G1U16GB;Ordenador HP Elite 800 G1 USDT GRADO B (Intel Core i5 4430S 2.7Ghz/8GB/120SSD/NO-DVD/W8P) Preinstalado;129;1 
6910HP800G1U17GB;Ordenador HP Elite 800 G1 USDT GRADO B (Intel Core i5 4590T 2.0Ghz/8GB/120SSD/NO-DVD/W8P) Preinstalado;135;1 
6910HP800G1U5GB;Ordenador HP Elite 800 G1 USDT GRADO B (Intel Core i5 4430s 2.7Ghz/8GB/120SSD/DVD/W7P) Preinstalado;135;1 
6910HP800G1U6GB;Ordenador HP Elite 800 G1 USDT GRADO B (Intel Core i5 4430s 2.7Ghz/8GB/120SSD/DVD/W8P) Preinstalado;139;1 
6910HPM600G23GB;Ordenador HP Prodesk 600 G2 Mini PC GRADO B (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;145;5 
6910HPU800G117GA;Ordenador HP 800 G1 USDT GRADO A (Intel core i5 4570s 2.9GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;135;1 
6910HPU800G117GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i5 4570s 2.9GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;119;19 
6910HPU800G118GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i5 4570s 2.9GHz/8GB/120SSD/NO-DVD/W8P) Preinstalado;115;9 
6910HPU800G119GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i5 4570s 2.9GHz/8GB/240SSD/NO-DVD/W8H) Preinstalado;135;11 
6910HPU800G120GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i5 4570s 2.9GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;115;40 
6910HPU800G121GA;Ordenador HP Elite 800 G1 USDT GRADO B (Intel Core i5 4430s 2.7Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;129;1 
6910HPU800G121GB;Ordenador HP 800 G1 USDT WIFI GRADO B (Intel Core i5 4570s 2.9GHz/8GB/120SSD/NO-DVD/W7P) Preinstalado;119;63 
6910HPU800G122GB;Ordenador HP 800 G1 USDT GRADO B (Intel Core i5 4570s 2.9GHz/8GB/240SSD/NO-DVD/W7P) Preinstalado;129;9 
6910HPU800G125GB;Ordenador HP 800 G1 USDT WIFI GRADO B (Intel Core i5 4570s 2.9GHz/8GB/240SSD/NO-DVD/W7P) Preinstalado;139;22 
6910LENTIM93P5GA;Ordenador Lenovo Desktop Tiny M93P GRADO A (Intel Core I5 4590T 2.0Ghz/8GB/120SSD/NO-DVD/W8P) Preinstalado;99;42 
6910LENTIM93P6GA;Ordenador Lenovo Desktop Tiny M93P GRADO A (Intel Core I5 4590T 2.0Ghz/8GB/120SSD/NO-DVD/W7P) Preinstalado;125;4 
6910LENTIM93P8GA;Ordenador Lenovo Desktop Tiny M93P GRADO A (Intel Core i5 4590T 2.0Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;135;1 
6910HP705G2M1GB;Ordenador HP 705 G2 Mini PC GRADO B (AMD A10-8700B 1.8GHz/8GB/500GB/NO-DVD/W8P) Preinstalado;69;54 
6910HP705G2M2GB;Ordenador HP 705 G2 Mini PC WIFI GRADO B (AMD A10-8700B 1.8GHz/8GB/500GB/NO-DVD/W8P) Preinstalado;79;25 
6910LENTIM72E8GB;Ordenador Lenovo Desktop Tiny M72e GRADO B (Intel Core i3 3220 3.0Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;85;119 
6910LENTIM731GB;Ordenador Lenovo Desktop Tiny M73 GRADO B (Intel Core i3 4130T 2.9Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;89;167 
6910LENTIM732GB;Ordenador Lenovo Desktop Tiny M73 GRADO B (Intel Core i3 4130T 2.9Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;99;5 
6910LENTIM922GB;Ordenador Lenovo Desktop Tiny M92 GRADO B (Intel Core i3 3220 3.30Ghz/8GB/120SSD/NO-DVD/W7P) Preinstalado;79;189 
6910LENTIM92P1GB;Ordenador Lenovo Desktop Tiny M92P GRADO B (Intel Core i3 3220T 2.80Ghz/8GB/120SSD/NO-DVD/W7P) Preinstalado;79;91 
6910LENTIM92P2GB;Ordenador Lenovo Desktop Tiny M92P GRADO B (Intel Core i3 3220T 2.80Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;85;153 
6910LENTIM92P3GB;Ordenador Lenovo Desktop Tiny M92P GRADO B (Intel Core i3 3220 3.30Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;95;193 
6910LENTM732GB;Ordenador Lenovo Desktop Tiny M73 GRADO B (Intel Core i3 4130T 2.9Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;95;192 
6910FQ9201GB;Ordenador Fujitsu Esprimo Q920 Mini PC GRADO B (Intel Core i5 4590T 2.0Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;119;24 
6910HP600G3M1GB;Ordenador HP Prodesk 600 G3 Mini PC GRADO B (Intel Core i5 6500T 2.5GHz/8GB/240SSD/NO-DVD/W8P) Preinstalado;209;8 
6910HP600G3M2GB;Ordenador HP Prodesk 600 G3 Mini PC GRADO B (Intel Core i5 6500T 2.5GHz/8GB/240SSD/NO-DVD/W10P) Preinstalado;209;6 
6910HPM600G22GA;Ordenador HP Prodesk 600 G2 Mini PC GRADO A (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;189;3 
6910HPM600G22GB;Ordenador HP Prodesk 600 G2 Mini PC GRADO B (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;149;7 
6910HPM600G23GA;Ordenador HP Prodesk 600 G2 Mini PC GRADO A (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;189;3 
6910HPSLICEG11GB;Ordenador HP Slice G1 Mini PC GRADO B (Intel Core i5 6600T 2.7Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;185;1 
6910HPSLICEG12GA;Ordenador HP Slice G1 Mini PC GRADO A (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;169;92 
6910HPSLICEG13GB;Ordenador HP Slice G1 Mini PC GRADO B (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;169;10 
6910HPSLICEG16GB;Ordenador HP Slice G1 Mini PC GRADO B (Intel Core i5 6500T 2.5Ghz/8GB/240SSD/NO-DVD/W10P) Preinstalado;185;7 
6910HPT800G24GA;Ordenador HP EliteDesk 800 G2 Mini PC GRADO A (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;189;2 
6910HPT800G24GB;Ordenador HP EliteDesk 800 G2 Mini PC GRADO B (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W7P) Preinstalado;185;4 
6910HPT800G26GB;Ordenador HP EliteDesk 800 G2 Mini PC GRADO B (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;169;59 
6910HPT800G27GB;Ordenador HP EliteDesk 800 G2 Mini PC GRADO B WIFI (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;189;5 
6910HPT800G28GB;Ordenador HP EliteDesk 800 G2 Mini PC GRADO B (Intel Core i5 6500 3.2Ghz/8GB/240SSD/NO-DVD/W8H) Preinstalado;185;2 
6910HPT800G29GA;Ordenador HP EliteDesk 800 G2 Mini PC GRADO A (Intel Core i5 6400T 2.2Ghz/8GB/240SSD/NO-DVD/W8P) Preinstalado;189;13 
6920FSLA5533GB;Portatil Fujitsu Lifebook A553 GRADO B TN (Celeron 1000m 1.8.Ghz/4GB/320GB/15.6"/DVD/W7P) Preinstalado;99;2 
6920LENL4401GB;Portátil Lenovo L440 GRADO B (Intel Pentium 3550M 2.3Ghz/4GB/500GB/14"/NO-DVD/W7P) Preinstalado;115;1 
6910LENM73126GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G3220 3.0Ghz/4GB/240SSD/DVD/W7P) Preinstalado;75;18 
6910LENM7319GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G1820 2.7Ghz/4GB/240SSD/DVD/W7P) Preinstalado;75;21 
6910LENM7325GB;Ordenador Lenovo M73 SFF GRADO B (Intel Pentium G1820 2.7Ghz/4GB/240SSD/DVD/W8P) Preinstalado;75;20 
6920TOSATB5331GB;Portátil Toshiba Satelite B553 GRADO B (Intel Core i3 3110M 2.40Ghz/4GB/320GB/15"/DVDRW/W8P) Preinstalado;185;1 
6920LENX220I3GB;Portátil Lenovo x220I GRADO B (intel celeron 847 1.10GHz/4GB/320GB/12.5"/W7P) Preinstalado;139;2 
